FileName,psnr,ssim,fd
2177.h5,17.715833782982287,0.6386454,2.362911695274446
2178.h5,18.503906710448035,0.75399995,1.5224428025700139
2179.h5,19.191465985225832,0.6372487,1.6654315463737561
2180.h5,18.445006526480206,0.63987565,2.1315161880492446
2181.h5,15.955715191476145,0.44285545,2.2794661790568322
2182.h5,13.988613219942035,0.25075787,3.2928161781524787
2183.h5,23.016492021227624,0.8357843,1.366365113234314
2184.h5,18.148273047746486,0.808128,1.4329183543243003
2185.h5,22.451502892912664,0.7833389,1.361829579477359
2186.h5,18.95588128884758,0.6169692,2.3213824460949466
2187.h5,18.91580471239945,0.5771985,1.42199824563211
2188.h5,14.633946551133562,0.53641206,2.290011157865345
2189.h5,18.84397137746295,0.4990631,1.9739429960409376
2190.h5,20.614296741478597,0.7045331,1.562771180349051
2191.h5,18.778985530256644,0.7392117,1.397126431681779
2192.h5,20.770882495258128,0.5828722,1.4722016707682226
2193.h5,13.773718448525319,0.6049943,2.1962736548893598
2194.h5,22.28334450748534,0.7863816,1.4226157286865662
2195.h5,19.800468243664792,0.63534623,1.858857541093713
2196.h5,17.582617967087913,0.46342185,1.9319530897027972
2197.h5,17.648513872131986,0.5736482,1.8194750019923565
2198.h5,15.198353575871993,0.43999702,2.2932583904235617
2199.h5,17.99222000619777,0.6341307,1.6139854701997698
2200.h5,16.057464761086276,0.4939147,2.2156533314497002
2201.h5,17.729983025020136,0.4609149,2.0244829774992437
2202.h5,19.42491661343542,0.6549356,2.0461766985098366
2203.h5,21.315471148744653,0.62014085,1.3636673957162948
2204.h5,19.01504160422824,0.65138745,2.426152619238171
2205.h5,19.764772726531525,0.69051045,1.6516768489524705
2206.h5,19.159431554812397,0.65058607,1.6664698901518469
2207.h5,21.11729486691744,0.71920496,1.749881799858977
2208.h5,20.106251232664604,0.67356694,1.5568114291592732
2209.h5,21.27107979114813,0.7397866,1.3428159330055347
2210.h5,19.71320852531414,0.5720422,2.0601373572708574
2211.h5,17.575540784420888,0.37837297,1.8995108278925885
2212.h5,20.41052294337925,0.74427867,1.3255547918776556
2213.h5,21.78453852615298,0.7662593,1.4498825742386234
2214.h5,17.93441088890626,0.55316937,2.166237427380314
2215.h5,18.985425071418067,0.7457335,1.5140254938239728
2216.h5,21.76313844003385,0.7934354,1.248358529843429
2217.h5,18.865262623983533,0.67393947,1.634909393772592
2218.h5,16.428307973779,0.55396354,1.7472788900171328
2219.h5,20.241549418621666,0.7570821,1.1874197734104843
2220.h5,22.59434721522295,0.8315253,1.4528398647716194
2221.h5,16.233395301686798,0.58898395,2.0259580069114516
2222.h5,19.61926089110948,0.61378527,1.5565988898225671
2223.h5,17.9748952337873,0.7006234,1.4545250381767247
2224.h5,22.472157791024692,0.8265107,1.238865221459596
2225.h5,21.902738121047413,0.8342632,1.4220122801856125
2226.h5,20.905952548273945,0.7634938,1.298554034698825
2227.h5,24.290479011738782,0.87240386,0.9113998209547582
2228.h5,19.169147939393774,0.7488862,1.5292202748475854
2229.h5,18.777089480553723,0.8515341,1.1880033423504357
2230.h5,18.64769039817704,0.72902584,1.627959834737183
2231.h5,15.955794248705484,0.29699323,2.448976097261952
2232.h5,20.040018368651754,0.6599425,1.6892221711239412
